cve_id,cve_description,cwe_id,cwe_description
CVE-2001-0161,"wireless router does not use 6 of the 24 bits for WEP encryption, making it easier for attackers to decrypt traffic",CWE-1204,Generation of Weak Initialization Vector (IV)
CVE-2003-1014,"MIE. multiple gateway/security products allow restriction bypass using multiple MIME fields with the same name, which are interpreted differently by clients.",CWE-235,Improper Handling of Extra Parameters
CVE-2008-7096,virtualization product allows compromise of hardware product by accessing certain remapping registers.,CWE-1260,Improper Handling of Overlap Between Protected Memory Ranges
CVE-2018-3721,Prototype pollution by merging objects.,CWE-1321,Improperly Controlled Modification of Object Prototype Attributes ('Prototype Pollution')
CVE-2010-1866,"Chain: integer overflow (CWE-190) causes a negative signed value, which later bypasses a maximum-only check (CWE-839), leading to heap-based buffer overflow (CWE-122).",CWE-839,Numeric Range Comparison Without Minimum Check
CVE-1999-1156,FTP server crash via PORT command with non-numeric character.,CWE-241,Improper Handling of Unexpected Data Type
CVE-2005-3335,"PHP file inclusion issue, both remote and local; local include uses .. and %00 characters as a manipulation, but many remote file inclusion issues probably have this vector.",CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2005-0406,"Some image editors modify a JPEG image, but the original EXIF thumbnail image is left intact within the JPEG. (Also an interaction error).",CWE-669,Incorrect Resource Transfer Between Spheres
CVE-2009-1596,"product does not properly implement a security-related configuration setting, allowing authentication bypass.",CWE-287,Improper Authentication
CVE-2007-3409,infinite loop from DNS packet with a label that points to itself,CWE-20,Improper Input Validation
CVE-2020-27211,Chain: microcontroller system-on-chip uses a register value stored in flash to set product protection state on the memory bus and does not contain protection against fault injection (CWE-1319) which leads to an incorrect initialization of the memory bus (CWE-1419) causing the product to be in an unprotected state.,CWE-1419,Incorrect Initialization of Resource
CVE-2008-0005,"Program does not set the charset when sending a page to a browser, allowing for XSS exploitation when a browser chooses an unexpected encoding.",CWE-116,Improper Encoding or Escaping of Output
CVE-2006-2480,"Format string vulnerability exploited by triggering errors or warnings, as demonstrated via format string specifiers in a .bmp filename.",CWE-134,Use of Externally-Controlled Format String
CVE-2012-2100,An unexpected large value in the ext4 filesystem causes an overshift condition resulting in a divide by zero - fix of CVE-2009-4307.,CWE-1335,Incorrect Bitwise Shift of Integer
CVE-2010-3636,"Chain: Adobe Flash Player does not properly handle unspecified encodings during the parsing of a cross-domain policy file, which allows remote web servers to bypass intended access restrictions via unknown vectors.",CWE-942,Permissive Cross-domain Policy with Untrusted Domains
CVE-2008-0166,The removal of a couple lines of code caused Debian's OpenSSL Package to only use the current process ID for seeding a PRNG,CWE-337,Predictable Seed in Pseudo-Random Number Generator (PRNG)
CVE-2002-0208,Product modifies TCP/IP stack and ICMP error messages in unusual ways that show the product is in use.,CWE-205,Observable Behavioral Discrepancy
CVE-2022-21668,"Chain: Python library does not limit the resources used to process images that specify a very large number of bands (CWE-1284), leading to excessive memory consumption (CWE-789) or an integer overflow (CWE-190).",CWE-770,Allocation of Resources Without Limits or Throttling
CVE-2003-0332,"Product modifies the first two letters of a filename extension after performing a security check, which allows remote attackers to bypass authentication via a filename with a .ats extension instead of a .hts extension.",CWE-179,Incorrect Behavior Order: Early Validation
CVE-2005-0622,Source disclosure via trailing encoded space %20,CWE-46,Path Equivalence: 'filename ' (Trailing Space)
CVE-2002-1710,Product does not distinguish uploaded file from other files.,CWE-616,Incomplete Identification of Uploaded File Variables (PHP)
CVE-2010-3147,DLL hijacking issue in address book.,CWE-427,Uncontrolled Search Path Element
CVE-2007-4639,Step-based manipulation: invocation of debugging function before the primary initialization function leads to access of an uninitialized pointer and code execution.,CWE-824,Access of Uninitialized Pointer
CVE-2010-2306,"Intrusion Detection System (IDS) uses the same static, private SSL keys for multiple devices and installations, allowing decryption of SSL traffic",CWE-1391,Use of Weak Credentials
CVE-2014-1266,"chain: incorrect goto in Apple SSL product bypasses certificate validation, allowing Adversary-in-the-Middle (AITM) attack (Apple goto fail bug). CWE-705 (Incorrect Control Flow Scoping) -> CWE-561 (Dead Code) -> CWE-295 (Improper Certificate Validation) -> CWE-393 (Return of Wrong Status Code) -> CWE-300 (Channel Accessible by Non-Endpoint).",CWE-705,Incorrect Control Flow Scoping
CVE-2007-0681,"Web app allows remote attackers to change the passwords of arbitrary users without providing the original password, and possibly perform other unauthorized actions.",CWE-620,Unverified Password Change
CVE-2020-5243,"server allows ReDOS with crafted User-Agent strings, due to overlapping capture groups that cause excessive backtracking.",CWE-407,Inefficient Algorithmic Complexity
CVE-2004-0276,Server earlier allows remote attackers to cause a denial of service (crash) via an HTTP request with a sequence of % characters and a missing Host field.,CWE-234,Failure to Handle Missing Parameter
CVE-2024-5565,"Python-based library uses an LLM prompt containing user input to dynamically generate code that is then fed as input into the Python exec() method, allowing code execution - one variant of a prompt injection attack.",CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2002-0514,Product allows remote attackers to determine if a port is being filtered because the response packet TTL is different than the default TTL.,CWE-204,Observable Response Discrepancy
CVE-2000-1209,"database product installs admin account with default null password, allowing privileges, as exploited by various worms",CWE-1393,Use of Default Password
CVE-2020-17087,"Chain: integer truncation (CWE-197) causes small buffer allocation (CWE-131) leading to out-of-bounds write (CWE-787) in kernel pool, as exploited in the wild per CISA KEV.",CWE-131,Incorrect Calculation of Buffer Size
CVE-2016-6485,crypto framework uses PHP rand function - which is not cryptographically secure - for an initialization vector,CWE-1204,Generation of Weak Initialization Vector (IV)
CVE-2022-36436,"Python-based authentication proxy does not enforce password authentication during the initial handshake, allowing the client to bypass authentication by specifying a 'None' authentication type.",CWE-287,Improper Authentication
CVE-2004-2070,"Service on Windows does not drop privileges before using view file option, allowing code execution.",CWE-271,Privilege Dropping / Lowering Errors
CVE-2001-0984,"Password protector leaves passwords in memory when window is minimized, even when clear password when minimized is set.",CWE-316,Cleartext Storage of Sensitive Information in Memory
CVE-2009-0037,URL-downloading library automatically follows redirects to file:// and scp:// URLs,CWE-918,Server-Side Request Forgery (SSRF)
CVE-2022-30272,Remote Terminal Unit (RTU) does not use signatures for firmware images and relies on insecure checksums,CWE-345,Insufficient Verification of Data Authenticity
CVE-2019-13351,file descriptor double close can cause the wrong file to be associated with a file descriptor.,CWE-1341,Multiple Releases of Same Resource or Handle
CVE-2012-5806,Payment processing module does not verify hostname when connecting to PayPal using PHP fsockopen function.,CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2019-14353,"Crypto hardware wallet's power consumption relates to total number of pixels illuminated, creating a side channel in the USB connection that allows attackers to determine secrets displayed such as PIN numbers and passwords",CWE-1300,Improper Protection of Physical Side Channels
CVE-2001-1349,unsafe calls to library functions from signal handler,CWE-364,Signal Handler Race Condition
CVE-2004-2488,FTP server read/access arbitrary files using C: filenames,CWE-39,Path Traversal: 'C:dirname'
CVE-2005-1792,Memory leak by performing actions faster than the software can clear them.,CWE-407,Inefficient Algorithmic Complexity
CVE-2001-1387,"Product may generate different responses than specified by the administrator, possibly leading to an information leak.",CWE-204,Observable Response Discrepancy
CVE-2018-20465,product allows read of sensitive database username/password variables using server-side template injection,CWE-1336,Improper Neutralization of Special Elements Used in a Template Engine
CVE-2002-0083,Off-by-one error allows local users or remote malicious servers to gain privileges.,CWE-193,Off-by-one Error
CVE-2009-2692,Chain: Use of an unimplemented network socket operation pointing to an uninitialized handler function (CWE-456) causes a crash because of a null pointer dereference (CWE-476).,CWE-456,Missing Initialization of a Variable
CVE-2002-1977,"Product does not time out according to user specification, leaving sensitive data available after it has expired.",CWE-449,The UI Performs the Wrong Action
CVE-2000-0338,"Chain: predictable file names used for locking, allowing attacker to create the lock beforehand. Resultant from permissions and randomness.",CWE-667,Improper Locking
CVE-2022-45918,"Chain: a learning management tool debugger uses external input to locate previous session logs (CWE-73) and does not properly validate the given path (CWE-20), allowing for filesystem path traversal using ../ sequences (CWE-24)",CWE-24,Path Traversal: '../filedir'
CVE-2018-8174,"This CVE covers several vulnerable scenarios enabled by abuse of the Class_Terminate feature in Microsoft VBScript. In one scenario, Class_Terminate is used to produce an undesirable re-entrance of ScriptingDictionary during execution of that object's destructor. In another scenario, a vulnerable condition results from a recursive entrance of a property setter method. This recursive invocation produces a second, spurious call to the Release method of a reference-counted object, causing a UAF when that object is freed prematurely. This vulnerability pattern has been popularized as Double Kill. [REF-1099]",CWE-1265,Unintended Reentrant Invocation of Non-reentrant Code Via Nested Calls
CVE-2005-3435,Product allows attackers to bypass authentication by obtaining the password hash for another user and specifying the hash in the pwd argument.,CWE-836,Use of Password Hash Instead of Password for Authentication
CVE-2000-0004,Server allows remote attackers to read source code for executable files by inserting a . (dot) into the URL.,CWE-55,Path Equivalence: '/./' (Single Dot Directory)
CVE-2002-1042,Directory traversal vulnerability in search engine for web server allows remote attackers to read arbitrary files via .. sequences in queries.,CWE-28,Path Traversal: '..filedir'
CVE-2002-1872,Weak encryption (XOR),CWE-326,Inadequate Encryption Strength
CVE-2002-1739,Weak encryption,CWE-326,Inadequate Encryption Strength
CVE-2009-2726,"Driver does not use a maximum width when invoking sscanf style functions, causing stack consumption.",CWE-400,Uncontrolled Resource Consumption
CVE-2007-0886,Buffer underflow resultant from encoded data that triggers an integer overflow.,CWE-124,Buffer Underwrite ('Buffer Underflow')
CVE-2002-1357,"Multiple SSH2 servers and clients do not properly handle packets or data elements with incorrect length specifiers, which may allow remote attackers to cause a denial of service or possibly execute arbitrary code.",CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2003-0364,CPU consumption via inputs that cause many hash table collisions.,CWE-407,Inefficient Algorithmic Complexity
CVE-2005-3420,Executable regexp in PHP by inserting e modifier into first argument to preg_replace,CWE-624,Executable Regular Expression Error
CVE-2002-0051,"Critical file can be opened with exclusive read access by user, preventing application of security policy. Possibly related to improper permissions, large-window race condition.",CWE-667,Improper Locking
CVE-2002-1807,javascript URI scheme in IMG tag.,CWE-82,Improper Neutralization of Script in Attributes of IMG Tags in a Web Page
CVE-2004-2504,"Windows program running as SYSTEM does not drop privileges before executing other programs (many others like this, especially involving the Help facility).",CWE-271,Privilege Dropping / Lowering Errors
CVE-2006-3617,Denylist only removes <SCRIPT> tag.,CWE-692,Incomplete Denylist to Cross-Site Scripting
CVE-2020-5243,"server allows ReDOS with crafted User-Agent strings, due to overlapping capture groups that cause excessive backtracking.",CWE-405,Asymmetric Resource Consumption (Amplification)
CVE-2012-2239,XXE in PHP application allows reading the application's configuration file.,CWE-611,Improper Restriction of XML External Entity Reference
CVE-2024-37032,"Large language model (LLM) management tool does not validate the format of a digest value (CWE-1287) from a private, untrusted model registry, enabling relative path traversal (CWE-23), a.k.a. Probllama",CWE-1287,Improper Validation of Specified Type of Input
CVE-2004-0366,chain: SQL injection in library intended for database authentication allows SQL injection and authentication bypass.,CWE-89,Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')
CVE-2001-0006,Everyone: Full Control permissions assigned to a mutex allows users to disable network connectivity.,CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2002-1730,Authentication bypass by setting certain cookies to true.,CWE-302,Authentication Bypass by Assumed-Immutable Data
CVE-2018-1000613,Cryptography API uses unsafe reflection when deserializing a private key,CWE-610,Externally Controlled Reference to a Resource in Another Sphere
CVE-1999-1568,Off-by-one error in FTP server allows a remote attacker to cause a denial of service (crash) via a long PORT command.,CWE-193,Off-by-one Error
CVE-2021-29529,Chain: machine-learning product can have a heap-based buffer overflow (CWE-122) when some integer-oriented bounds are calculated by using ceiling() and floor() on floating point values (CWE-1339),CWE-1339,Insufficient Precision or Accuracy of a Real Number
CVE-2003-0825,"Name services does not properly validate the length of certain packets, which allows attackers to cause a denial of service and possibly execute arbitrary code. Can overlap zero-length issues",CWE-130,Improper Handling of Length Parameter Inconsistency
CVE-2021-28664,"GPU kernel driver allows memory corruption because a user can obtain read/write access to read-only pages, as exploited in the wild per CISA KEV.",CWE-787,Out-of-bounds Write
CVE-2019-18827,"chain: JTAG interface is not disabled (CWE-1191) during ROM code execution, introducing a race condition (CWE-362) to extract encryption keys",CWE-1191,On-Chip Debug and Test Interface With Improper Access Control
CVE-2008-3485,Untrusted search path using malicious .EXE in Windows environment.,CWE-426,Untrusted Search Path
CVE-2005-1366,CGI source disclosure using dirname/../cgi-bin,CWE-57,Path Equivalence: 'fakedir/../realdir/filename'
CVE-2004-1395,Certain packets (zero byte and other lengths) cause a recvfrom call to produce an unexpected return code that causes a server's listening loop to exit.,CWE-394,Unexpected Status Code or Return Value
CVE-2001-1585,Missing challenge-response step allows authentication bypass using public key.,CWE-325,Missing Cryptographic Step
CVE-2002-1915,Program can not execute when attacker obtains a lock on a critical output file.,CWE-667,Improper Locking
CVE-2009-2698,"Chain: IP and UDP layers each track the same value with different mechanisms that can get out of sync, possibly resulting in a NULL dereference",CWE-476,NULL Pointer Dereference
CVE-2005-1681,PHP remote file include.,CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2010-1795,DLL hijacking issue in music player/organizer.,CWE-427,Uncontrolled Search Path Element
CVE-2004-1363,substitution overflow: buffer overflow using environment variables that are expanded after the length check is performed,CWE-131,Incorrect Calculation of Buffer Size
CVE-2007-4580,"Buffer underflow from a small size value with a large buffer (length parameter inconsistency, CWE-130)",CWE-786,Access of Memory Location Before Start of Buffer
CVE-2009-2960,"Web application does not restrict access to admin scripts, allowing authenticated users to modify passwords of other users.",CWE-862,Missing Authorization
CVE-2020-12926,"Product software does not set a flag as per TPM specifications, thereby preventing a failed authorization attempt from being recorded after a loss of power.",CWE-1272,Sensitive Information Uncleared Before Debug/Power State Transition
CVE-2001-1025,Modify key variable when calling scripts that don't load a library that initializes it.,CWE-473,PHP External Variable Modification
CVE-2005-1894,Direct code injection into PHP script that can be accessed by attacker.,CWE-94,Improper Control of Generation of Code ('Code Injection')
CVE-2006-6994,ASP program allows upload of .asp files by bypassing client-side checks,CWE-434,Unrestricted Upload of File with Dangerous Type
CVE-2010-2547,"certificate with a large number of Subject Alternate Names not properly handled in realloc, leading to use-after-free",CWE-416,Use After Free
CVE-2001-1269,ZIP file extractor allows full path,CWE-37,Path Traversal: '/absolute/pathname/here'
CVE-2003-0981,"product records the reverse DNS name of a visitor in the logs, allowing spoofing and resultant XSS.",CWE-346,Origin Validation Error
CVE-2004-2259,SIGCHLD signal to FTP server can cause crash under heavy load while executing non-reentrant functions like malloc/free.,CWE-479,Signal Handler Use of a Non-reentrant Function
CVE-2008-6157,storage of unencrypted passwords in a database,CWE-311,Missing Encryption of Sensitive Data
CVE-2008-6291,Web-based email list manager allows attackers to gain admin privileges by setting a login cookie to admin.,CWE-807,Reliance on Untrusted Inputs in a Security Decision
CVE-2021-29662,Chain: Use of zero-prepended IP addresses in Perl-based IP validation module can lead to an access control bypass.,CWE-1389,Incorrect Parsing of Numbers with Different Radices
CVE-2007-2027,Chain: untrusted search path enabling resultant format string by loading malicious internationalization messages,CWE-134,Use of Externally-Controlled Format String
CVE-2019-1552,"SSL package searches under C:/usr/local for configuration files and other critical data, but C:/usr/local might be world-writable.",CWE-427,Uncontrolled Search Path Element
CVE-2005-2198,Modification of assumed-immutable configuration variable in include file allows file inclusion via direct request.,CWE-829,Inclusion of Functionality from Untrusted Control Sphere
CVE-2002-1483,Read files with full pathname using multiple internal slash.,CWE-41,Improper Resolution of Path Equivalence
CVE-2001-0559,"Setuid program does not drop privileges after a parsing error occurs, then calls another program to handle the error.",CWE-271,Privilege Dropping / Lowering Errors
CVE-2005-0369,large ID in packet used as array index,CWE-129,Improper Validation of Array Index
CVE-2006-2374,Deadlock in device driver triggered by using file handle of a related device.,CWE-667,Improper Locking
CVE-2000-0552,World-readable temporary file not deleted after use.,CWE-459,Incomplete Cleanup
CVE-2002-1078,Directory listings in web server using multiple trailing slash,CWE-41,Improper Resolution of Path Equivalence
CVE-2019-11930,function internally calls 'calloc' and returns a pointer at an index... inside the allocated buffer. This led to freeing invalid memory.,CWE-761,Free of Pointer not at Start of Buffer
CVE-2020-27833,"Zip Slip vulnerability in container management product allows writing arbitrary files outside intended directory via a container image (.tar format) with filenames that are symbolic links that point to other files within the same tar file; however, the files being pointed to can also be symbolic links to destinations outside the intended directory, bypassing the initial check.",CWE-59,Improper Link Resolution Before File Access ('Link Following')
CVE-2002-1831,Crash via hex-encoded space %20.,CWE-177,Improper Handling of URL Encoding (Hex Encoding)
CVE-2002-1804,javascript URI scheme in IMG tag.,CWE-82,Improper Neutralization of Script in Attributes of IMG Tags in a Web Page
CVE-2004-2121,read files via ...... in web server (doubled triple dot?),CWE-33,Path Traversal: '....' (Multiple Dot)
CVE-2004-0815,/./////etc cleansed to .///etc then /etc,CWE-41,Improper Resolution of Path Equivalence
CVE-2002-0661,"not in list of disallowed values for web server, allowing path traversal attacks when the server is run on Windows and other OSes.",CWE-184,Incomplete List of Disallowed Inputs
CVE-2008-0322,Driver installs its device interface with Everyone: Write permissions.,CWE-732,Incorrect Permission Assignment for Critical Resource
CVE-2001-1546,Weak encryption,CWE-326,Inadequate Encryption Strength
CVE-2010-2941,Improper allocation for invalid data leads to use-after-free.,CWE-416,Use After Free
CVE-2003-0244,CPU consumption via inputs that cause many hash table collisions.,CWE-407,Inefficient Algorithmic Complexity
CVE-2017-5715,"A fault may allow transient user-mode operations to access kernel data cached in the L1D, potentially exposing the data over a covert channel.",CWE-1421,Exposure of Sensitive Information in Shared Microarchitectural Structures during Transient Execution
CVE-2003-1564,Parsing library allows XML bomb,CWE-409,Improper Handling of Highly Compressed Data (Data Amplification)
CVE-2021-44480,children's smart watch has default passwords allowing attackers to send SMS commands and listen to the device's surroundings,CWE-1393,Use of Default Password
CVE-2000-0172,Program only uses seteuid to drop privileges.,CWE-271,Privilege Dropping / Lowering Errors
CVE-2002-0574,"chain: reference count is not decremented, leading to memory leak in OS by sending ICMP packets.",CWE-401,Missing Release of Memory after Effective Lifetime
CVE-2008-0961,"Backup product uses hard-coded username and password, allowing attackers to bypass authentication via the RPC interface",CWE-798,Use of Hard-coded Credentials
CVE-2002-1863,FTP service can not be disabled even when other access controls would require it.,CWE-420,Unprotected Alternate Channel
CVE-2022-21668,"Chain: Python library does not limit the resources used to process images that specify a very large number of bands (CWE-1284), leading to excessive memory consumption (CWE-789) or an integer overflow (CWE-190).",CWE-190,Integer Overflow or Wraparound
CVE-2008-2958,chain: time-of-check time-of-use (TOCTOU) race condition in program allows bypass of protection mechanism that was designed to prevent symlink attacks.,CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2007-2713,Remote attackers can obtain access to administrator functionality through EAR.,CWE-698,Execution After Redirect (EAR)
CVE-2004-0747,substitution overflow: buffer overflow using expansion of environment variables,CWE-131,Incorrect Calculation of Buffer Size
CVE-2022-45918,"Chain: a learning management tool debugger uses external input to locate previous session logs (CWE-73) and does not properly validate the given path (CWE-20), allowing for filesystem path traversal using ../ sequences (CWE-24)",CWE-20,Improper Input Validation
CVE-2001-1471,"chain: an invalid value prevents a library file from being included, skipping initialization of key variables, leading to resultant eval injection.",CWE-665,Improper Initialization
CVE-2005-0129,% variable is expanded by wildcard function into disallowed commands.,CWE-154,Improper Neutralization of Variable Name Delimiters
CVE-2005-2553,"Kernel function does not properly handle when a null is returned by a function call, causing it to call another function that it shouldn't.",CWE-394,Unexpected Status Code or Return Value
CVE-2012-5810,"Mobile banking application does not verify hostname, leading to financial loss.",CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2017-18326,modem debug messages include cryptographic keys,CWE-1295,Debug Messages Revealing Unnecessary Information
CVE-2006-6143,Uninitialized function pointer in freed memory is invoked,CWE-824,Access of Uninitialized Pointer
CVE-2002-1463,"Firewall generates easily predictable initial sequence numbers (ISN), which allows remote attackers to spoof connections.",CWE-342,Predictable Exact Value from Previous Values
CVE-2002-1777,AV product detection bypass using inconsistency manipulation (file extension in MIME Content-Type vs. Content-Disposition field).,CWE-436,Interpretation Conflict
CVE-2008-4638,"Composite: application running with high privileges (CWE-250) allows user to specify a restricted file to process, which generates a parsing error that leaks the contents of the file (CWE-209).",CWE-269,Improper Privilege Management
CVE-2009-4307,An unexpected large value in the ext4 filesystem causes an overshift condition resulting in a divide by zero.,CWE-1335,Incorrect Bitwise Shift of Integer
CVE-2001-1509,Hardware-specific implementation of system call causes incorrect results from geteuid.,CWE-393,Return of Wrong Status Code
CVE-2015-8103,Deserialization issue in commonly-used Java library allows remote execution.,CWE-502,Deserialization of Untrusted Data
CVE-2003-0083,Multi-channel issue. Terminal escape sequences not filtered from log files.,CWE-138,Improper Neutralization of Special Elements
CVE-2003-0083,Multi-channel issue. Terminal escape sequences not filtered from log files.,CWE-150,"Improper Neutralization of Escape, Meta, or Control Sequences"
CVE-2004-0847,Bypass of authentication for files using (backslash) or %5C (encoded backslash).,CWE-289,Authentication Bypass by Alternate Name
CVE-2019-19793,network access control service executes program with high privileges and allows symlink to invoke another executable or perform DLL injection.,CWE-64,Windows Shortcut Following (.LNK)
CVE-2002-0184,special characters in argument are not properly expanded,CWE-131,Incorrect Calculation of Buffer Size
CVE-2022-30271,Remote Terminal Unit (RTU) uses a hard-coded SSH private key that is likely to be used by default.,CWE-321,Use of Hard-coded Cryptographic Key
CVE-2008-4905,Blogging software uses a hard-coded salt when calculating a password hash.,CWE-330,Use of Insufficiently Random Values
CVE-2005-2933,"Buffer overflow via mailbox name with an opening double quote but missing a closing double quote, causing a larger copy than expected.",CWE-157,Failure to Sanitize Paired Delimiters
CVE-2009-1358,"chain: OS package manager does not check properly check the return value, allowing bypass using a revoked certificate.",CWE-295,Improper Certificate Validation
CVE-2004-0213,Attacker uses Shatter attack to bypass GUI-enforced protection for CVE-2003-0908.,CWE-422,Unprotected Windows Messaging Channel ('Shatter')
CVE-2000-1117,Virtual machine allows malicious web site operators to determine the existence of files on the client by measuring delays in the execution of the getSystemResource method.,CWE-208,Observable Timing Discrepancy
CVE-2008-7310,Attackers can bypass payment step in e-commerce product.,CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes
CVE-2011-4962,Content management system written in PHP allows code execution through page comments.,CWE-915,Improperly Controlled Modification of Dynamically-Determined Object Attributes
CVE-2012-5817,"Java library uses JSSE SSLSocket and SSLEngine classes, which do not verify the hostname.",CWE-297,Improper Validation of Certificate with Host Mismatch
CVE-2002-1800,Admin password in plaintext in a cookie.,CWE-312,Cleartext Storage of Sensitive Information
CVE-2004-2397,Cleartext storage of private key and passphrase in log file when user imports the key.,CWE-313,Cleartext Storage in a File or on Disk
CVE-2001-1559,"Chain: System call returns wrong value (CWE-393), leading to a resultant NULL dereference (CWE-476).",CWE-684,Incorrect Provision of Specified Functionality
CVE-2004-0230,Complex predictability / randomness (reduced space).,CWE-334,Small Space of Random Values
CVE-2008-2052,Open redirect vulnerability in the software allows remote attackers to redirect users to arbitrary web sites and conduct phishing attacks via a URL in the proper parameter.,CWE-601,URL Redirection to Untrusted Site ('Open Redirect')
CVE-2005-0877,"DNS server can accept DNS updates from hosts that it did not query, leading to cache poisoning",CWE-346,Origin Validation Error
CVE-2004-0222,Memory leak via unknown manipulations as part of protocol test suite.,CWE-401,Missing Release of Memory after Effective Lifetime
CVE-2020-15483,monitor device allows access to physical UART debug port without authentication,CWE-306,Missing Authentication for Critical Function
CVE-2020-0551,Load value injection in some processors utilizing speculative execution may allow an authenticated user to enable information disclosure via a side-channel with local access.,CWE-1342,Information Exposure through Microarchitectural State after Transient Execution
CVE-2022-35248,"Chat application skips validation when Central Authentication Service (CAS) is enabled, effectively removing the second factor from two-factor authentication",CWE-1390,Weak Authentication
CVE-2020-7218,"Go-based workload orchestrator does not limit resource usage with unauthenticated connections, allowing a DoS by flooding the service",CWE-400,Uncontrolled Resource Consumption
CVE-2002-1023,Server allows remote attackers to cause a denial of service (crash) via an HTTP GET request without a URI.,CWE-234,Failure to Handle Missing Parameter
CVE-2021-39155,"Chain: A microservice integration and management platform compares the hostname in the HTTP Host header in a case-sensitive way (CWE-178, CWE-1289), allowing bypass of the authorization policy (CWE-863) using a hostname with mixed case or other variations.",CWE-178,Improper Handling of Case Sensitivity
CVE-2002-1657,"Database server uses the username for a salt when encrypting passwords, simplifying brute force attacks.",CWE-916,Use of Password Hash With Insufficient Computational Effort
CVE-2008-5021,"chain: race condition allows attacker to access an object while it is still being initialized, causing software to access uninitialized memory.",CWE-362,Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')
CVE-2008-3424,"Chain: product does not properly handle wildcards in an authorization policy list, allowing unintended access.",CWE-862,Missing Authorization
CVE-2022-24045,"Web application for a room automation system has client-side Javascript that sets a sensitive cookie without the HTTPOnly security attribute, allowing the cookie to be accessed.",CWE-1004,Sensitive Cookie Without 'HttpOnly' Flag
CVE-2008-4197,Use of uninitialized memory may allow code execution.,CWE-908,Use of Uninitialized Resource
CVE-2005-1632,Product searches /tmp for modules before other paths.,CWE-427,Uncontrolled Search Path Element
CVE-2004-0772,Double free resultant from certain error conditions.,CWE-415,Double Free
CVE-1999-1125,Program runs setuid root but relies on a configuration file owned by a non-root user.,CWE-282,Improper Ownership Management
CVE-2008-4558,"chain: negative ID in media player bypasses check for maximum index, then used as an array index for buffer under-read.",CWE-839,Numeric Range Comparison Without Minimum Check
CVE-2002-0596,GET request with empty parameter leads to error message infoleak (path disclosure).,CWE-234,Failure to Handle Missing Parameter
CVE-2005-1951,e-commerce app allows HTTP response splitting using CRLF in object id parameters,CWE-113,Improper Neutralization of CRLF Sequences in HTTP Headers ('HTTP Request/Response Splitting')
CVE-1999-0513,"Classic Smurf attack, using spoofed ICMP packets to broadcast addresses.",CWE-405,Asymmetric Resource Consumption (Amplification)
CVE-2019-18827,"After ROM code execution, JTAG access is disabled. But before the ROM code is executed, JTAG access is possible, allowing a user full system access. This allows a user to modify the boot flow and successfully bypass the secure-boot process.",CWE-1244,Internal Asset Exposed to Unsafe Debug Access Level or State
CVE-2020-5248,IT asset management app has a default encryption key that is the same across installations,CWE-1391,Use of Weak Credentials
CVE-2009-4272,deadlock triggered by packets that force collisions in a routing table,CWE-833,Deadlock
CVE-2002-1578,"Product does not restrict access to underlying database, so attacker can bypass restrictions by directly querying the database.",CWE-420,Unprotected Alternate Channel
CVE-2005-2193,"Array variable not initialized in PHP application, leading to resultant SQL injection.",CWE-456,Missing Initialization of a Variable
CVE-2005-2169,chain: .../...// bypasses protection mechanism using regexp's that remove ../ resulting in collapse into an unsafe value ../ (CWE-182) and resultant path traversal.,CWE-23,Relative Path Traversal
CVE-2003-0412,application server does not log complete URI of a long request (truncation).,CWE-221,Information Loss or Omission
CVE-2009-1350,product accepts crafted messages that lead to a dereference of an arbitrary pointer,CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer
CVE-2017-7971,SCADA product allows use of outdated cipher suites,CWE-1240,Use of a Cryptographic Primitive with a Risky Implementation
CVE-2002-0391,Integer overflow via a large number of arguments.,CWE-190,Integer Overflow or Wraparound
CVE-2008-2108,"Chain: insufficient precision causes extra zero bits to be assigned, reducing entropy for an API function that generates random numbers.",CWE-330,Use of Insufficiently Random Values
CVE-2004-0979,Web browser does not properly modify security setting when the user sets it.,CWE-447,Unimplemented or Unsupported Feature in UI
CVE-2002-2077,Memory not properly cleared before reuse.,CWE-226,Sensitive Information in Resource Not Removed Before Reuse
CVE-2001-1152,"Proxy allows remote attackers to bypass denylist restrictions and connect to unauthorized web servers by modifying the requested URL, including (1) a // (double slash), (2) a /SUBDIR/.. where the desired file is in the parentdir, (3) a /./, or (4) URL-encoded characters.",CWE-41,Improper Resolution of Path Equivalence
CVE-2003-1136,HTML injection in posted message.,CWE-80,Improper Neutralization of Script-Related HTML Tags in a Web Page (Basic XSS)
CVE-2005-0269,"File extension check in forum software only verifies extensions that contain all lowercase letters, which allows remote attackers to upload arbitrary files via file extensions that include uppercase letters.",CWE-1289,Improper Validation of Unsafe Equivalence in Input
